,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-72.01367979999999,44.5369603,39,luther cir,,LYNDON,,vt,05850,,e7dde497e70fea54
1,-71.090644,42.321469,120,martin luther king jr boulevard,,city_of_boston,,ma,02119,,56cb0199f36918ff
2,-71.180856,42.290228799999994,9,martin luther road,,city_of_boston,,ma,02132,,8135b63890193641
3,-71.9065995,42.051114299999995,10,luther lane,,DUDLEY,WORCESTER,ma,01571,,0c7d1455163735e4
4,-71.0915445,42.321120799999996,133,martin luther king jr boulevard,,ROXBURY,SUFFOLK,ma,02119,,a5933abc98f71fb5
5,-71.1505693,41.743933899999995,486,luther avenue,,SOMERSET,BRISTOL,ma,02726,,2d4c7b48a734e6d2
6,-71.3365546,41.8064152,74,luther street,,SEEKONK,BRISTOL,ma,02771,,55cb348db05926ed
7,-69.9942141,41.8355664,140,luthers lane,,EASTHAM,BARNSTABLE,ma,02642,,e49090b466886fc7
8,-71.1752792,41.898108,91,james h luther drive,,TAUNTON,BRISTOL,ma,02780,,e5b59186150e7f88
9,-70.0200412,41.9171869,40,luthers way,,WELLFLEET,BARNSTABLE,ma,02667,,deeb8e20c350ea5f
10,-71.1808573,42.290246100000005,9,martin luther road,,WEST ROXBURY,SUFFOLK,ma,02132,,d14a41551f30d862
11,-72.9522748,42.486861100000006,8,luther shaw road,,CUMMINGTON,HAMPSHIRE,ma,01026,,3b214204297beb8a
12,-71.114684,42.4228271,1,luther road,,MEDFORD,MIDDLESEX,ma,02155,,260c7b78c5b5b450
13,-70.7109345,42.138531799999996,50,captain luther little way,,MARSHFIELD,PLYMOUTH,ma,02050,,9b21c4804e1cd116
14,-71.3127427,42.64870429999999,168,martin luther king jr way,,LOWELL,MIDDLESEX,ma,01852,,a7baad5eb3fc238b
15,-71.7966541,42.2669086,100,"mlk, jr boulevard",1,WORCESTER,WORCESTER,ma,01608,,5810aef9cdf545ca
16,-71.5152878,42.759092700000004,4,lutheran dr,,city_of_nashua,,nh,,,3f600c878077f0b7
17,-71.51821770000001,42.7630562,32,lutheran dr,,Nashua,,nh,,,0066a981c6c0a742
18,-71.5152003,42.761168299999994,,l lutheran dr,,Nashua,,nh,,,d80a60eda8825283
19,-72.32997759999999,43.2208072,,luther hill rd,,Acworth,,nh,,,3a53d3f5b20bc5b9
20,-73.4219306,41.101453,28,martin luther king jr. dr,,city_of_norwalk,,ct,,,701f7c6ccc992e40
21,-71.42845559999999,41.815839700000005,1,luther,,providence,,ri,02907,,905fdb2f6bff2db0
22,-71.4594168,41.7016503,19,luther ave,,WARWICK,,ri,02886,320714,758038ba43be4810
23,-71.3843563,41.956321,8,louise f luther dr,,CUMBERLAND,,ri,02864,395402,c62dd70c9b183487
24,-71.2825689,41.7265018,17,luther st,,WARREN,,ri,02885,398338,8aa070a69601e891
