,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-77.1759485,38.265773700000004,10425,luther ln,,king_george,,va,,,2390a86a943ed1d2
1,-79.5259786,37.6081389,206,lutherie ln,,NATURAL BRIDGE STATION,,va,,,d6dd9733ef33d451
2,-76.264887,36.7182761,738,luther st,,CHESAPEAKE,,va,23322,,cd807cf47d64e125
3,-77.653337,39.262814899999995,12582,lutheran church rd,,loudoun,,va,,,ab3ed45c732e32a2
4,-77.33455790000001,37.5370848,504,luther rd,,HENRICO,,va,230751626,,ceeea9c4287545f0
5,-82.1782745,36.597971799999996,213,martin luther king jr blvd,,BRISTOL,Bristol City,va,24201,,06d7f8695bc6a84a
6,-82.45771090000001,37.1595417,510,luther rd,,CLINTWOOD,Dickenson County,va,24228,,4d3e288e54af60e8
7,-81.304474,37.2464621,100,luther st,,BLUEFIELD,Tazewell County,va,24605,,cae55c7305f20bdf
8,-80.19290050000001,36.7511885,45,luther scott ln,,STUART,Patrick County,va,24171,,eb7b012dab8542de
9,-80.1001455,37.247936200000005,3796,luther dr,,SALEM,Roanoke County,va,24153,,ebcb728d2db24092
10,-80.1037786,37.2473098,3700,luther,,SALEM,Roanoke County,va,24153,,5b95f401fe28eae6
11,-79.5259786,37.6081389,206,lutherie ln,,NATURAL BRIDGE STATION,Rockbridge County,va,24579,,c26ed3abb1b56301
12,-78.4736046,37.4784662,67,janie luther ln,,DILLWYN,Buckingham County,va,23936,,61f6c746939e9eb8
13,-78.278356,37.480080799999996,35,luther p jackson dri*,,CUMBERLAND,Cumberland County,va,23040,,659846b7ec4678f2
14,-78.8749273,38.443648700000004,5,martin luther king jr way,,HARRISONBURG,Harrisonburg City,va,22801,,a45ac095e1d6fd48
15,-78.2597873,38.3705792,170,luther ln,,MADISON,Madison County,va,22727,,9004df07e0fe7140
16,-77.6533395,39.262822799999995,12582,lutheran church rd,,LOVETTSVILLE,Loudoun County,va,20180,,04273fd550decf42
17,-77.4169563,37.241484299999996,2809,martin luther king dr,,PETERSBURG,Chesterfield County,va,23806,,465ca753a59fe765
18,-77.059207,37.0751171,850,martin luther king hwy,,WAVERLY,Surry County,va,23890,,6e30e45e935eae6c
19,-77.28878540000001,37.2857826,1300,luther blvd,,HOPEWELL,Hopewell City,va,23860,,4132c30a1394aba9
20,-77.33695870000001,37.5876304,6526,luther bosher ln,,MECHANICSVILLE,Hanover County,va,23111,,29a65f84f47ed257
21,-76.32681690000001,36.8357154,449,martin luther king fwy,,PORTSMOUTH,Portsmouth City,va,23704,,6c991c087a830304
22,-77.3751587,38.634016100000004,14713,luther allen pl,,WOODBRIDGE,Prince William County,va,22193,,521d9ca3db7c9e2e
23,-80.3799644,33.32395089999999,206,luther dr,,HOLLY HILL,,sc,29059,,02eff2c34b571bf7
24,-80.3792744,33.3254395,146,luther dr,,Unspecified,,sc,29059,,6c65a943bb45a4ea
25,-80.3804569,33.325275399999995,148,luther drive,,Unspecified,,sc,99999,,ea7a350fb5ffa924
26,-80.0069373,32.7929412,21,martin luther king blvd,,Charleston,,sc,29407,,79d873ff9684d903
27,-78.9744342,33.6924237,4146,john luther rd,,Myrtle Beach,,sc,29588,,5a7eb452dfb54bb3
28,-79.10980390000002,33.67193820000001,8261,martin luther dr,,Conway,,sc,29527,,f4a91fa94019ef31
29,-78.7513035,33.9158057,458,luther dr,,Longs,,sc,29568,,de5cf51bcc09bcb4
30,-78.89242929999999,33.7035153,925,luther senior ln,,Myrtle Beach,,sc,29577,,a5af5368821395af
