,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-114.21449009999998,46.31560579999999,659,luther ln,,ravalli,,mt,,,c4b172470d68c9a7
1,-108.59509080000001,45.7753023,502,luther cir,,yellowstone,,mt,,,b301822d06fec467
2,-109.4005047,45.299273,75,lower luther rd,,carbon,,mt,,,3db7df42cd58ad07
3,-109.38135559999999,45.268249700000005,189,upper luther rd,,carbon,,mt,,,bb48f63762c2523e
4,-109.4269233,45.2786102,25,luther roscoe rd,,carbon,,mt,,,e5073eb0be9f4ac5
5,-109.4619152,45.289530600000006,,upper luther,,carbon,,mt,,,9a5fa1c95d6a41ca
6,-109.4245723,45.2848901,2,luther roscoe rd,,LUTHER,,mt,59068,,231bd39b4129a6c8
7,-109.4090563,45.2827218,528,upper luther rd,,RED LODGE,,mt,59068,,5135845fdf6e191e
8,-109.42495149999999,45.283833,5,luther roscoe rd,,RED LODGE,,mt,59068,,e8a07ddae3dd0d94
9,-109.400549,45.2991612,75,lower luther rd,,RED LODGE,,mt,59068,,31d988b6f1b355a9
10,-114.180027,47.9743545,616,lutheran camp rd,,LAKESIDE,,mt,59922,,9b271dec29ea4b4c
11,-114.2112986,46.314525,627,luther ln,,HAMILTON,,mt,59840,,250abe9d691e6802
12,-108.5949366,45.776603,642,luther cir,,BILLINGS,,mt,59102,,03c444ec7eec6975
13,-114.1939221,47.974991499999994,290,lutheran camp rd,,flathead,,mt,,,745beadf9005ac67
14,-147.5046854,64.9013195,875,luthers loop,,fairbanks_north_star_borough,,ak,,11702,6083cb8be094f043
15,-147.8226343,64.84032090000001,4000,marian luther ln,,fairbanks_north_star_borough,,ak,,39740,262e95dc0e3160de
16,-149.81319119999998,61.1767459,3620,doctor martin luther king junior ave,TRLHD,anchorage,,ak,99507,,b08a980be07cb7a4
17,-104.8944017,39.76034129999999,8087,e martin luther king jr blvd,,denver,,co,,,50e732039776c227
18,-104.9296946,39.7620605,4977,e martin luther king blvd,,denver,,co,,,f6c9cfb699117e13
19,-104.79767890000001,39.8840658,10351,luther ct,,COMMERCE CITY,ADAMS,co,80022,,faaa9e54d2c0e9a2
20,-104.6793441,38.9235264,6350,luther rd,,el_paso,,co,,,3b6a8a241c51ff41
21,-104.73904379999999,38.8487842,1062,lutheran way,,el_paso,,co,,,1667302e22eea919
22,-105.09005,39.762800399999996,3210,lutheran pkwy,,jefferson,,co,80033,,3b0d49a4286ac2b0
23,-104.87211059999998,39.760260200000005,9907,east martin luther king jr boulevard,,,,co,,,2686d0bb11931316
24,-104.97264809999999,39.7623156,1223,east martin luther king boulevard,,,,co,,,b428f9079f28f5b3
25,105.09012,39.76271,3210,lutheran parkway,,Wheat Ridge,,co,80033,,64d3aa3b1119df79
26,-105.1264446,40.525616799999995,2626,luther,,Fort Collins,,co,80526,,68fed799b0be4ee1
27,-121.67323390000001,36.66131729999999,1240,luther way,16,Salinas,,ca,93901,,4b7c78212fcb4791
28,-119.3291446,36.20322279999999,1132,martin luther king jr ave,#A,TULARE,,ca,93274,,935bb65068c68ec6
29,-117.821982,33.672787299999996,17482,luther ave,,city_of_irvine,,ca,,,f86b8e83011ade4c
30,-117.05183629999999,32.682511600000005,2417,luther st,,San Diego,,ca,92139,,15c582e08cec27f1
31,-120.47565230000001,37.30744620000001,2400,martin luther king jr way,,merced,,ca,,,913ed4e274fecfa8
32,-121.90990690000001,37.328204299999996,1047,luther av,,city_of_san_jose,,ca,,26128069,cc4f626292f1cc71
33,-116.98909990000001,32.7132353,938,luther dr,,Spring Valley,,ca,91977,5792833000,2eb63bfaf4a4590e
34,-116.9891973,32.8548213,9658,lutheran way,,Santee,,ca,92071,3805701900,be2607a1eef4ca9b
35,-117.05226280000001,32.6821554,2406,luther st,,San Diego,,ca,92139,5884403500,8a3b26eaa41ede84
36,-116.9921264,32.855283,9739,lutheran ct,,Santee,,ca,92071,3805502100,a5182a2cc643ae6f
37,-116.9883797,32.7143211,967,luther dr,,SPRING VALLEY,,ca,91977,5791001700,343f8f6b5ca78758
38,-118.1803098,33.777256799999996,840,martin luther king jr ave,,city_of_long_beach,,ca,,,89ebfe82b5953014
39,-117.8228254,33.671980700000006,17542,luther av,,IRVINE,,ca,,447-062-09,f3e0ecb95d2e926d
40,-122.4769015,37.766304999999996,996,martin luther king jr dr,,san_francisco,,ca,94122,,0ed06426555adbe2
41,-121.0721983,38.929392299999996,12619,luther ridge ct,,placer,,ca,95603,,a5221dde10e02b58
42,-121.08327759999999,38.9266092,12150,luther rd,,placer,,ca,95603,,293d3bc8d6a9da77
43,-119.1659439,34.215484499999995,1211,martin luther king jr dr,,Oxnard,,ca,93030,,900283e1a5347bfa
44,-118.85522830000001,34.2996715,6936,luther cir,,Moorpark,,ca,93021,,a256ce5de40a1af6
